fecha,element_id,codigo,accion,slot,mensaje
2026-05-03 12:21:01,398683,P10-CCM-AIR-AIRCLD 2,duplicado_omitido,,El código ya existe en BTZ_Description_01..80
2026-05-03 12:21:01,398683,P10-CCM-AIR-AIREXT 2,duplicado_omitido,,El código ya existe en BTZ_Description_01..80
2026-05-03 12:21:01,398683,P10-CCM-AIR-AIRPRP 2,agregado,BTZ_Description_22,OK
2026-05-03 12:21:01,398683,P10-CCM-CMP-AC CLD-20-1,duplicado_omitido,,El código ya existe en BTZ_Description_01..80
2026-05-03 12:21:01,398683,P10-CCM-CMP-AC CLD-20-2,duplicado_omitido,,El código ya existe en BTZ_Description_01..80
2026-05-03 12:21:01,398683,P10-CCM-CMP-AC CLD-20-3,duplicado_omitido,,El código ya existe en BTZ_Description_01..80
2026-05-03 12:21:01,398683,P10-CCM-CMP-AC CLD-20-4,duplicado_omitido,,El código ya existe en BTZ_Description_01..80
2026-05-03 12:21:01,398683,P10-CCM-CMP-AC EXT-15-1,duplicado_omitido,,El código ya existe en BTZ_Description_01..80
2026-05-03 12:21:01,398683,P10-CCM-CMP-AC EXT-20-1,duplicado_omitido,,El código ya existe en BTZ_Description_01..80
2026-05-03 12:21:01,398683,P10-CCM-CMP-AC EXT-20-2,duplicado_omitido,,El código ya existe en BTZ_Description_01..80
2026-05-03 12:21:01,398683,P10-CCM-CMP-AC PRP-15-2,duplicado_omitido,,El código ya existe en BTZ_Description_01..80
2026-05-03 12:21:01,398683,P10-CCM-CMP-AC PRP-15-3,duplicado_omitido,,El código ya existe en BTZ_Description_01..80
﻿2026-05-03 12:22:21,398683,P10-CCM-AIR-AIRCLD 2,duplicado_omitido,,El código ya existe en BTZ_Description_01..80
2026-05-03 12:22:21,398683,P10-CCM-AIR-AIREXT 2,duplicado_omitido,,El código ya existe en BTZ_Description_01..80
2026-05-03 12:22:21,398683,P10-CCM-AIR-AIRPRP 2,duplicado_omitido,,El código ya existe en BTZ_Description_01..80
2026-05-03 12:22:21,398683,P10-CCM-CMP-AC CLD-20-1,duplicado_omitido,,El código ya existe en BTZ_Description_01..80
2026-05-03 12:22:21,398683,P10-CCM-CMP-AC CLD-20-2,duplicado_omitido,,El código ya existe en BTZ_Description_01..80
2026-05-03 12:22:21,398683,P10-CCM-CMP-AC CLD-20-3,duplicado_omitido,,El código ya existe en BTZ_Description_01..80
